,app_name,total_devices,total_minutes,avg_time_spend_per_device,Rank(duration based),Rank(user_based)
2,Facebook (Mobile App),545,4163529.081599996,7639.502902018341,1.0,7.0
3,Facebook Messenger (Mobile App),610,3475676.5847999994,5697.830466885245,2.0,5.0
20,YouTube (Mobile App),804,1631514.0366000035,2029.2463141791088,3.0,3.0
7,Instagram (Mobile App),590,949199.5421999987,1608.8127833898284,4.0,6.0
5,Google Search (Mobile App),891,686227.3613999983,770.1766121212103,5.0,2.0
15,Snapchat (Mobile App),494,533163.7080000008,1079.2787611336048,6.0,8.0
10,Netflix (Mobile App),374,442761.15239999985,1183.853348663101,7.0,11.0
12,Pinterest (Mobile App),405,204737.7276,505.52525333333335,8.0,10.0
4,Google Play (Mobile App),917,166880.3094,181.9850702290076,9.0,1.0
18,Yahoo Mail (Mobile App),234,137795.55299999996,588.8698846153844,10.0,12.0
8,Kindle (Mobile App),207,137411.39160000003,663.8231478260872,11.0,13.0
0,Amazon Mobile (Mobile App),797,132216.31079999998,165.89248531994977,12.0,4.0
16,Tumblr (Mobile App),71,98796.23459999998,1391.4962619718308,13.0,18.0
11,Outlook (Mobile App),122,51937.313399999985,425.71568360655726,14.0,16.0
1,Amazon Music with Prime Music (Mobile App),169,35375.4702,209.32230887573965,15.0,15.0
17,Walmart (Mobile App),446,34365.71879999998,77.05318116591924,16.0,9.0
6,GroupMe (Mobile App),78,16450.862400000005,210.9084923076924,17.0,17.0
19,Yahoo Newsroom (Mobile App),44,7078.881599999999,160.8836727272727,18.0,20.0
9,Microsoft Word (Mobile App),184,6168.582000000003,33.52490217391306,19.0,14.0
13,Sam's Club (Mobile App),51,1567.5849,30.736958823529413,20.0,19.0
14,Sam's Club Scan & Go (Mobile App),36,1156.1508,32.1153,21.0,21.0
