app_name,Publisher,minutes
Amazon Mobile (Mobile App),Amazon Sites,47.1555
Amazon Music with Prime Music (Mobile App),Amazon Sites,34.398
Facebook (Mobile App),Facebook,2764.6542
Facebook Messenger (Mobile App),Facebook,1349.649
Google Play (Mobile App),Google Sites,57.6639
Google Search (Mobile App),Google Sites,119.8638
GroupMe (Mobile App),Microsoft Sites,64.6758
Instagram (Mobile App),Facebook,247.2498
Kindle (Mobile App),Amazon Sites,25.4394
Microsoft Word (Mobile App),Microsoft Sites,11.604600000000001
Netflix (Mobile App),Netflix Inc.,79.4934
Outlook (Mobile App),Microsoft Sites,103.2696
Pinterest (Mobile App),Pinterest,104.139
Sam's Club (Mobile App),Wal-Mart,8.712900000000001
Sam's Club Scan & Go (Mobile App),Wal-Mart,3.3264
Snapchat (Mobile App),"Snapchat, Inc",208.6182
Tumblr (Mobile App),Oath,231.2982
Walmart (Mobile App),Wal-Mart,31.128300000000003
Yahoo Mail (Mobile App),Oath,168.98489999999998
Yahoo Newsroom (Mobile App),Oath,33.075
YouTube (Mobile App),Google Sites,209.8656
